"","p.05","p.50","p.95","ex.05","ex.50","ex.95"
"X185",8.92424928540918,12.1131798937504,15.0290405819174,-0.911587506580823,2.27734310176035,5.19320378992737
"X186",14.350876651038,18.3282194755534,22.0149522944449,4.88298038028796,8.86032320480335,12.5470560236949
"X187",9.72059088836362,12.8992262604995,16.0655877890767,3.87561980377362,7.05425517590955,10.2206167044867
"X188",9.43918690506274,12.5667115966267,15.4914058324621,3.15061917130274,6.2781438628667,9.20283809870209
"X189",24.8872778052049,28.6375195028733,32.3924912460813,17.8016096228349,21.5518513205033,25.3068230637113
"X190",9.13835619355381,12.3043884564578,15.3142954944853,1.35763643647381,4.5236686993778,7.5335757374053
"X191",8.98428082467974,11.7794820259041,14.8940270491169,-6.61455035208026,-3.8193491508559,-0.704804127643063
"X192",14.1907662112976,17.8672036722547,21.6495958102923,-1.27851174280236,2.3979257181547,6.18031785619232
"X193",15.1144639657038,18.7093487823563,22.6950416676736,7.37010208826379,10.9649869049163,14.9506797902336
"X194",14.4944170971802,18.4355302384414,22.4593203374113,5.86533994874022,9.80645309000135,13.8302431889713
"X195",14.4330117619371,18.4852985276473,22.4969617704808,3.63317274215711,7.6854595078673,11.6971227507008
"X196",14.905610844573,18.8515644699992,22.5896969199689,1.89929828353298,5.84525190895925,9.58338435892887
"X197",14.7148797266786,18.5227334797566,22.3493090022301,1.97469723155855,5.78255098463665,9.60912650711015
"X198",14.9135675637032,18.8781010955458,22.7037644911681,-2.09133813697684,1.8731953948658,5.69885879048813
"X199",14.6424957637844,18.7800369937484,22.427018779554,-3.65049740027561,0.487043829688449,4.13402561549405
